# Simulation 1 (Up to date)
# 792 data points written for 2 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²)
# Event SIM_WARN occurred at t=0 seconds: No recovery device defined in the simulation.
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.125,6.699e-4
0.125,6.699e-4
0.125,6.698e-4
0.125,6.698e-4
0.125,6.698e-4
0.125,6.697e-4
0.125,6.697e-4
# Event LIFTOFF occurred at t=0.063 seconds
0.125,6.696e-4
0.125,6.696e-4
0.125,6.695e-4
0.125,6.695e-4
0.125,6.694e-4
0.125,6.693e-4
0.125,6.692e-4
0.125,6.692e-4
0.125,6.691e-4
0.124,6.69e-4
0.124,6.689e-4
0.124,6.689e-4
0.124,6.688e-4
0.124,6.688e-4
0.124,6.687e-4
0.124,6.686e-4
# Event LAUNCHROD occurred at t=0.211 seconds
0.124,6.685e-4
0.124,6.685e-4
0.124,6.685e-4
0.124,6.684e-4
0.124,6.683e-4
0.124,6.681e-4
0.124,6.679e-4
0.123,6.675e-4
0.123,6.671e-4
0.123,6.667e-4
0.123,6.663e-4
0.123,6.662e-4
0.123,6.661e-4
0.122,6.66e-4
0.122,6.658e-4
0.122,6.655e-4
0.122,6.651e-4
0.122,6.647e-4
0.121,6.643e-4
0.121,6.642e-4
0.121,6.641e-4
0.121,6.64e-4
0.121,6.638e-4
0.121,6.635e-4
0.121,6.631e-4
0.12,6.628e-4
0.12,6.624e-4
0.12,6.624e-4
0.12,6.623e-4
0.12,6.623e-4
0.12,6.622e-4
0.12,6.62e-4
0.12,6.618e-4
0.119,6.615e-4
0.119,6.615e-4
0.119,6.614e-4
0.119,6.613e-4
0.119,6.612e-4
0.119,6.609e-4
0.119,6.607e-4
0.119,6.605e-4
0.118,6.603e-4
0.118,6.6e-4
0.118,6.598e-4
0.118,6.596e-4
0.118,6.595e-4
0.118,6.595e-4
0.118,6.594e-4
0.118,6.593e-4
0.118,6.592e-4
0.118,6.59e-4
0.117,6.589e-4
0.117,6.589e-4
0.117,6.589e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
# Event BURNOUT occurred at t=2.04 seconds
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
0.117,6.588e-4
